X,Y,Previous_X,Previous_Y,X_velocity,Spike_0,Spike_1,Spike_2,Spike_3,Spike_4,Spike_5,Spike_6,Spike_7,Spike_8,Spike_9,Spike_10,Spike_11,Jump
338,360.80000000000007,342,356.70000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
334,365.20000000000005,338,360.80000000000007,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
330,369.90000000000003,334,365.20000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
326,374.90000000000003,330,369.90000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
322,380.20000000000005,326,374.90000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
318,385.80000000000007,322,380.20000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
314,391.70000000000005,318,385.80000000000007,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
310,397.90000000000003,314,391.70000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
306,404.40000000000003,310,397.90000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
302,411.20000000000005,306,404.40000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
298,418.30000000000007,302,411.20000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
294,425.70000000000005,298,418.30000000000007,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
290,433.40000000000003,294,425.70000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
286,441.40000000000003,290,433.40000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
282,449.70000000000005,286,441.40000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
278,458.30000000000007,282,449.70000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
274,467.20000000000005,278,458.30000000000007,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
270,476.40000000000003,274,467.20000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,1
266,469.40000000000003,270,476.40000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
262,462.70000000000005,266,469.40000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
258,456.30000000000007,262,462.70000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
254,450.20000000000005,258,456.30000000000007,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
250,444.40000000000003,254,450.20000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
246,438.90000000000003,250,444.40000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
242,433.70000000000005,246,438.90000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
238,428.80000000000007,242,433.70000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
234,424.20000000000005,238,428.80000000000007,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
230,419.90000000000003,234,424.20000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
226,415.90000000000003,230,419.90000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
222,412.20000000000005,226,415.90000000000003,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
218,408.80000000000007,222,412.20000000000005,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
214,405.70000000000005,218,408.80000000000007,-4,0,0,1,1,0,0,0,0,1,0,1,0,0
